composition_yard_garden_green_waste_percent
2.1395
4.49
2.87
4.0
0.64
3.0
18.0
4.0
2.5
1.03
12.0
1.61
0.72
1.41
0.66
1.0
12.0
2.0
13.0
9.0
9.0
26.0
7.0
0.3
6.31
5.32
9.7
8.0
1.9
12.0
5.1
11.16
2.97
31.74
6.0
6.0
15.0
32.25
4.0
5.0
9.43
1.75
6.8
7.7
0.1
1.2
30.0
3.0
5.0
14.1
16.0
37.0
15.1
14.1
11.2
7.52
10.0
5.0
1.0
0.2
4.24
30.0
49.68
0.54
80.8
2.0
8.0
2.48
3.4
6.0
3.0
14.0
7.34
1.0
19.2
16.0
3.0
6.93
5.0
6.68
9.17
5.0
2.8
5.99
28.0
33.0
0.5
25.1
8.0
2.35
8.9
2.6
38.7
1.0
30.0
16.0
