,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
92,0.2902189254760742,0.0027969771288913745,0.004987668991088867,4.1019083342755444e-07,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.6439639288050634,-0.6164486600111632,-0.920098835587984,-0.8701727468191935,-0.9026632195070703,-0.7906694781460948,0.13228056401498675,40,-61.927116288488754,-60.318516214804845,-71.6554637124397,-64.33102515560138,-59.95275500596695,-63.636975275460316,4.2962106404787805,40
56,0.28234572410583497,0.005349536887266909,0.005009937286376953,4.9921320742169497e-05,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.6439639288050634,-0.621052887528915,-0.920098835587984,-0.8701727468191935,-0.917723813995571,-0.7946024425473454,0.13373892292883252,41,-61.927116288488754,-60.40435955101782,-71.6554637124397,-64.33102515560138,-60.18956632856192,-63.701506207221904,4.242996381537962,41
20,0.23712987899780275,0.003999044625498672,0.004387903213500977,0.0004889673017860411,0,0.1,3,500,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.6439639288050634,-0.621052887528915,-0.920098835587984,-0.8701727468191935,-0.917723813995571,-0.7946024425473454,0.13373892292883252,41,-61.927116288488754,-60.40435955101782,-71.6554637124397,-64.33102515560138,-60.18956632856192,-63.701506207221904,4.242996381537962,41
58,0.20584611892700194,0.005585750940240515,0.005195045471191406,0.00041775742889915127,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",-0.6271511060378268,-0.6981285855221915,-0.9417927782783992,-0.903578251145803,-0.9414724033900299,-0.8224246248748501,0.1331076956686194,43,-61.60963811174174,-61.82369791128483,-72.05912089263103,-64.9030307530898,-60.56110551865494,-64.19131863748046,4.191849138264402,43
22,0.20263805389404296,0.0065354658784276655,0.0052048683166503905,0.0003913729799118453,0,0.1,6,200,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",-0.6271528143424803,-0.6981285855221915,-0.9417927782783992,-0.903578251145803,-0.9414724033900299,-0.8224249665357808,0.13310719444121852,44,-61.609670452931034,-61.82369791128483,-72.05912089263103,-64.9030307530898,-60.56110551865494,-64.19132510571833,4.191845154617228,44
94,0.20922398567199707,0.005305499476095205,0.0051974296569824215,0.000422765626178519,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",-0.6284077791976788,-0.6981285855221915,-0.9443657124505331,-0.9052437820780208,-0.9466320323767743,-0.8245555783250398,0.13433202053834786,45,-61.63342454292068,-61.82369791128483,-72.10684534629505,-64.93141791567922,-60.64152528268132,-64.22738219977222,4.193954937306613,45
61,0.25393123626708985,0.006864342731169098,0.004986810684204102,2.7804145311571603e-07,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",-0.8110692413680092,-0.9026374996512543,-1.0980219864684457,-0.9672267280608158,-1.1870872365381162,-0.9932085384173283,0.134631125331079,46,-64.998336557953,-65.44066712023162,-74.90184858905329,-65.97916551890503,-64.27783443056131,-67.11957044334085,3.9308571497856257,46
25,0.25156545639038086,0.002692471495915091,0.004986953735351562,6.975526255763909e-07,0,0.1,9,200,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",-0.8110764161168131,-0.9009022995249596,-1.1037587711939758,-0.9663940334640251,-1.187086551013091,-0.993843614262573,0.13580838745559362,47,-64.99846530683376,-65.41081945991495,-75.0041836567811,-65.96520009516244,-64.27782435687362,-67.13129857511318,3.9747565063627035,48
97,0.2611269950866699,0.006750529455686992,0.005186033248901367,0.0003987791007120299,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",-0.8019294640991141,-0.9062433102686336,-1.0986361552794923,-0.9671890290978007,-1.1959521561113386,-0.9939900229712759,0.139315866552641,48,-64.8341181740432,-65.5026481752867,-74.9128110607128,-65.97853331977875,-64.40797134959425,-67.12721641588314,3.9300578131751895,47
27,0.0643388271331787,0.0024295229885486847,0.0057848930358886715,0.00039930411958966257,0,1,3,100,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",-0.863512475970871,-0.9247836199680277,-1.151819021195581,-0.9851852445984493,-1.2139602136625243,-1.0278521150790907,0.13375732628437717,49,-65.93270097454433,-65.8204199705168,-75.85607892062505,-66.27963826700105,-64.67152314621133,-67.71207225577972,4.107704008367118,49
